database,table,schema
PROD_ARC_SOURCE,PROJECT_RISK_MANAGEMENT,"id(INT),projectId(INT),riskscenarioId(INT),sourceofriskId(INT),identified_date(DATE),probability_of_occurrence(INT),rpn(INT),control_plan(TEXT),status(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),risk_review_date(DATE),created_at(DATETIME2),updated_at(DATETIME2),impact(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),action_owner_id(INT)"
PROD_ARC_SOURCE,PROJECT_UPDATES,"id(INT),projectId(INT),quoteId(INT),activitiesId(INT),created_by(INT),updatesGroupNumber(INT),created_by_name(TEXT),modified_by(INT),remarks(TEXT),discussions(TEXT),status(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),start_date(DATE),created_at(DATETIME2),updated_at(DATETIME2),location_id(INT)"
PROD_ARC_SOURCE,PROJECTS,"id(INT),quote_id(INT),project_type(INT),project_id_number(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),description(TEXT),status(INT),project_status(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_at(DATETIME2),updated_at(DATETIME2),project_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),customer_id(INT),created_by(INT),completed_date(DATETIME),start_date(DATE),end_date(DATE),estimated_delivery_date(DATE),employee_id(INT),project_kickoff_status(BIT)"
PROD_ARC_SOURCE,QD_MANUFACTURING_DATA,"id(INT),quote_id(INT),quote_develop_id(INT),quote_line_id(INT),quote_sub_line_id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),hours(decimal(20,2)),amount(decimal(20,2)),created_at(DATETIME2),updated_at(DATETIME2),type_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),scope_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),markup(decimal(20,2)),sell_price(decimal(20,2))"
PROD_ARC_SOURCE,QD_SUBMITTED_SUMMARY,"id(INT),quote_id(INT),quote_develop_id(INT),quote_value(decimal(20,2)),quote_number(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),lines(NTEXT),quote_submitted_date(DATETIME),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,QD_SUMMARY_BY_QUOTE,"id(INT),quote_id(INT),scope_id(INT),line_id(INT),line_number(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),scope_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),planned_hours(decimal(20,2)),quantity(decimal(20,2)),ats_cost(decimal(20,2)),ats_sell(decimal(20,2)),ski_cost(decimal(20,2)),ski_sell(decimal(20,2)),freight_cost(decimal(20,2)),freight_sell(decimal(20,2)),duties_tariff(decimal(20,2)),total_cost(decimal(20,2)),total_sell(decimal(20,2)),created_at(DATETIME2),updated_at(DATETIME2),iko_cost(decimal(20,2)),iko_sell(decimal(20,2))"
PROD_ARC_SOURCE,QD_SUMMARY_BY_SCOPE,"id(INT),quote_id(INT),scope_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),ats_internal_gpm_amount(decimal(20,2)),ats_internal_gpm_percentage(decimal(20,2)),ski_internal_gpm_amount(decimal(20,2)),ski_internal_gpm_percentage(decimal(20,2)),ski_gpm_amount(decimal(20,2)),ski_gpm_percentage(decimal(20,2)),group_gpm_amount(decimal(20,2)),group_gpm_percentage(decimal(20,2)),created_at(DATETIME2),updated_at(DATETIME2),iko_internal_gpm_amount(decimal(20,2)),iko_internal_gpm_percentage(decimal(20,2))"
PROD_ARC_SOURCE,QUOTE_APPROVALS,"id(INT),quote_id(INT),division_id(INT),approval_status(INT),approval_notes(TEXT),rejected_reason(TEXT),approvedBy(INT),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,QUOTE_DEVELOP,"id(INT),quote_id(INT),customer_id(INT),description(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),quoted_by_date(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),probability(INT),validity(INT),quote_development_status(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_at(DATETIME2),updated_at(DATETIME2),created_by(INT),quote_value(decimal(20,2)),quote_submitted_date(DATETIME),ats_approval_mail_sent(INT),ski_approval_mail_sent(INT),ats_approval(INT),ski_approval(INT),final_approval(INT),summary(NTEXT),ats_reason(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),ski_reason(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),quote_gpm_percentage(decimal(20,2)),approved_ats_reason(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),approved_ski_reason(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS"")"
PROD_ARC_SOURCE,QUOTE_LINES,"id(INT),quote_id(INT),rfq_line_id(INT),quote_line_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),location_quote_line_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),description(TEXT),job_type_id(INT),location(INT),created_at(DATETIME2),updated_at(DATETIME2),parent_id(INT),quantity(INT),status(INT),created_by(INT),line_ski_markup(decimal(20,4)),line_ats_markup(decimal(20,4)),subline_ats_cost(decimal(20,4)),subline_is_ats_markup(BIT),subline_ski_cost(decimal(20,4)),subline_ski_markup(decimal(20,4)),subline_sell_price(decimal(20,4)),subline_adjusted_price(decimal(20,4)),subline_planned_hours(decimal(20,4)),is_deleted(BIT),quoted_value(decimal(20,4)),subline_unit_sell_cost(decimal(20,4)),subline_ski_extended_cost(decimal(20,4)),quote_line_option(INT),is_not_calculated(BIT),revision_parent_id(INT),ecn_parent_id(INT),conversion_price(decimal(20,4)),detail_number(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),scope_final_price(decimal(20,4)),is_direct_revision(INT),is_direct_ecn(INT),quoted_value_without_quantity(decimal(20,4)),is_selected_for_pdf(INT),shipping_markup(decimal(20,4)),is_modified(INT),is_update_line(INT),subline_without_development_markup(decimal(20,4))"
